"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Austria","AUT","Urban population","SP.URB.TOTL","4561167","4592914","4624644","4658034","4692726","4726878","4763809","4803163","4831802","4852163","4872871","4897890","4927193","4955326","4964528","4952131","4944146","4946802","4943554","4935890","4936650","4950315","4956972","4951992","4954705","4960058","4966239","4972413","4982491","5007960","5049338","5102718","5159187","5201907","5221966","5229967","5237033","5242971","5248727","5258949","5271610","5291909","5318413","5344871","5378625","5415886","5443164","5461334","5478956","5493828","5507469","5526568","5552329","5586847","5633672","5701416","5768997","5823770",
"Azerbaijan","AZE","Urban population","SP.URB.TOTL","2051432","2110437","2171811","2233683","2293590","2349763","2401556","2449254","2493163","2534088","2590427","2666681","2742016","2816715","2884271","2944707","3005274","3066067","3127436","3187547","3246175","3305703","3366409","3428569","3495127","3566420","3639923","3715252","3792009","3852583","3847891","3885695","3922204","3959159","3989565","4012031","4028686","4043596","4057628","4085971","4135854","4184325","4232008","4280744","4335079","4396406","4461940","4530068","4643726","4759039","4835104","4918882","5006337","5094489","5182792","5270470","5356551","5442187",
"Burundi","BDI","Urban population","SP.URB.TOTL","57867","60059","62330","64692","67232","70606","75508","80883","86587","92459","98312","104110","109901","115800","122200","129420","137545","146657","156746","167676","178629","190170","202542","215763","230073","245495","262268","280311","299426","319283","339601","357739","375730","393782","411835","429924","447767","465620","484391","504576","527802","554689","585303","619383","656404","695933","738137","783159","830917","880822","932889","986828","1042782","1101333","1163373","1229726","1300676","1376174",
"Belgium","BEL","Urban population","SP.URB.TOTL","8463316","8500111","8545539","8624158","8720520","8814176","8887919","8951328","9000174","9039007","9061057","9090451","9138742","9179915","9221059","9259701","9288043","9319769","9348049","9375266","9403844","9418778","9426273","9435379","9444896","9457075","9469618","9486775","9525797","9569207","9606261","9650427","9697796","9743821","9781788","9810102","9836805","9868070","9896510","9926274","9956834","9996900","10047497","10095147","10144456","10205859","10278774","10359739","10447150","10536729","10638559","10792210","10875857","10934111","10964475","11032703","11093122","11137121",
"Benin","BEN","Urban population","SP.URB.TOTL","225533","243036","262053","282715","305170","329545","356057","384830","416031","449720","486099","525276","567564","613051","662185","715202","772494","834085","900437","965278","1016236","1070018","1126940","1187099","1250621","1317607","1388168","1462441","1541340","1625791","1716834","1815044","1910225","1995344","2082662","2170765","2259203","2348391","2439225","2533357","2631925","2735157","2842942","2955352","3071714","3191453","3314532","3441354","3572519","3708565","3850258","3997756","4151141","4310518","4476160","4648131","4826757","5011963",
"Burkina Faso","BFA","Urban population","SP.URB.TOTL","226977","234744","242709","251039","259788","268990","278745","289111","299959","311347","323190","335447","348345","361759","375811","390629","418353","457588","500783","548277","600751","658561","722340","792524","869407","953160","1017667","1064070","1112726","1163681","1217244","1273347","1332276","1393993","1458745","1526699","1598129","1693155","1810936","1936788","2071321","2214526","2367405","2530418","2704755","2890681","3089300","3301196","3524506","3759232","4005079","4262509","4531565","4812118","5104154","5407651","5722217","6048027",
"Bangladesh","BGD","Urban population","SP.URB.TOTL","2475057","2617508","2805637","3008532","3228260","3467852","3729712","4014260","4316105","4626933","4939077","5248219","5557188","5875157","6313359","7013651","7811638","8713882","9728604","10856231","12099237","13228798","13943509","14691533","15478941","16306248","17177150","18090344","19042936","20025732","21037032","22024916","22922841","23837323","24779354","25751082","26756934","27790504","28852897","29937469","31040015","32314461","33816861","35351142","36901038","38452444","40000914","41547693","43106068","44698589","46347659","48058996","49817084","51609325","53426273","55254828","57090079","58935304",
"Bulgaria","BGR","Urban population","SP.URB.TOTL","2918796","3080500","3244762","3411401","3582451","3753817","3900528","4030377","4165384","4304295","4440047","4555020","4667082","4782137","4905140","5019834","5126058","5232150","5317153","5402887","5503013","5566106","5627272","5685942","5743706","5787617","5822722","5862424","5900092","5861908","5786939","5759256","5726692","5704408","5704237","5697800","5687307","5671407","5652100","5638810","5629167","5539603","5448708","5433321","5419782","5406009","5391557","5378166","5366322","5357245","5347166","5337678","5331180","5325329","5318697","5307981","5293548","5277345",
"Bahrain","BHR","Urban population","SP.URB.TOTL","133710","138239","142593","146737","150679","154631","158719","162770","167094","172099","178110","185108","193097","202410","213472","226495","241774","259015","277084","294402","309867","322929","333966","343892","354084","365554","378677","393107","408233","423114","437114","450270","462398","473985","485792","498242","511456","525811","542384","562553","587333","616417","649650","688194","733469","786025","847420","916152","986055","1048751","1098597","1132227","1152239","1166335","1185638","1217864","1266051","1326892",
"Bahamas, The","BHS","Urban population","SP.URB.TOTL","65401","69587","74094","78852","83751","88714","93733","98784","103767","108556","113068","117234","121087","124751","128424","132250","136279","140473","144846","149340","153997","159055","164261","169532","174781","179944","184961","189864","194731","199676","204654","209068","213687","218337","222758","226812","230381","233582","236721","240212","244297","248765","253874","259455","265200","270906","276502","282037","287455","292738","297863","302807","307553","312098","316440","320588","324531","328272",
